voice_index	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sex confidence
261	0.8	1	1	0.667	0.8	0.3	-0.73	male	-4.4	222.7	0.86	1.49	0.41
262	0.8	1	1	0.667	0.8	0.3	-0.98	ambiguous	-4.2	191.41	0.74	1.46	0.54
263	0.8	1	1	0.667	0.8	0.3	-0.59	female	-4.4	205.75	0.8	1.49	0.40
264	0.8	1	1	0.667	0.8	0.3	-1.76	male	-4.2	258.4	1	1.46	0.48
265	0.8	1	1	0.667	0.8	0.3	-2.27	female	-4.3	220.05	0.85	1.48	0.14
266	0.8	1	1	0.667	0.8	0.3	-1.02	female	-3.4	204.43	0.79	1.33	0.27
267	0.8	1	1	0.667	0.8	0.3	-0.72	female	-3.9	192.88	0.75	1.41	0.21
268	0.8	1	1	0.667	0.8	0.3	-1.07	ambiguous	-4	212.73	0.83	1.43	0.39
269	0.8	1	1	0.667	0.8	0.3	-1.36	male	-2.8	217.33	0.84	1.24	0.52
270	0.8	1	1	0.667	0.8	0.3	1.73	male	-3.8	171.17	0.66	1.39	0.58
271	0.8	1	1	0.667	0.8	0.3	2.28	male	-4.1	185.54	0.72	1.44	0.79
272	0.8	1	1	0.667	0.8	0.3	1.71	male	-1.5	211.45	0.82	1.07	0.80
273	0.8	1	1	0.667	0.8	0.3	2.93	female	-4.5	171.93	0.67	1.51	0.31
274	0.8	1	1	0.667	0.8	0.3	0.73	ambiguous	-3	198.77	0.77	1.27	0.10
275	0.8	1	1	0.667	0.8	0.3	-0.37	male	-2.8	228.34	0.89	1.24	0.43
276	0.8	1	1	0.667	0.8	0.3	-1.48	ambiguous	-3.3	198.1	0.77	1.32	0.80
277	0.8	1	1	0.667	0.8	0.3	-0.06	ambiguous	-5	203.02	0.79	1.6	0.13
278	0.8	1	1	0.667	0.8	0.3	-2.65	male	-3.4	207.57	0.81	1.33	0.80
279	0.8	1	1	0.667	0.8	0.3	-0.98	ambiguous	-3.3	228.2	0.89	1.32	0.80
280	0.8	1	1	0.667	0.8	0.3	-0.33	female	-4.5	206.11	0.8	1.51	0.49
281	0.8	1	1	0.667	0.8	0.3	1.8	female	-4.3	209.68	0.81	1.48	0.41
282	0.8	1	1	0.667	0.8	0.3	1.63	female	-3.2	190.78	0.74	1.3	0.54
283	0.8	1	1	0.667	0.8	0.3	-3.28	female	-4.4	207.21	0.8	1.49	0.40
284	0.8	1	1	0.667	0.8	0.3	-0.31	male	-3.6	243.03	0.94	1.36	0.48
285	0.8	1	1	0.667	0.8	0.3	2.06	female	-6.1	166.71	0.65	1.82	0.14
286	0.8	1	1	0.667	0.8	0.3	-0.5	male	-4.7	215.86	0.84	1.55	0.27
287	0.8	1	1	0.667	0.8	0.3	1.31	male	-2.7	227.16	0.88	1.23	0.21
288	0.8	1	1	0.667	0.8	0.3	0.74	male	-3.3	230.59	0.9	1.32	0.39
289	0.8	1	1	0.667	0.8	0.3	-1.59	male	-4.4	230.14	0.89	1.49	0.52
290	0.8	1	1	0.667	0.8	0.3	-1.25	female	-3.6	227.16	0.88	1.36	0.58
291	0.8	1	1	0.667	0.8	0.3	0.61	male	-4.3	208.56	0.81	1.48	0.79
292	0.8	1	1	0.667	0.8	0.3	-1.29	female	-3.6	200.93	0.78	1.36	0.80
293	0.8	1	1	0.667	0.8	0.3	2.61	male	-2.7	207.82	0.81	1.23	0.31
294	0.8	1	1	0.667	0.8	0.3	-0.89	ambiguous	-4.2	214.41	0.83	1.46	0.10
295	0.8	1	1	0.667	0.8	0.3	4.12	male	-2.1	189.14	0.73	1.15	0.43
296	0.8	1	1	0.667	0.8	0.3	-2.58	male	-0.9	225.27	0.87	1	0.80
297	0.8	1	1	0.667	0.8	0.3	2.33	male	-3.1	180.03	0.7	1.29	0.13
298	0.8	1	1	0.667	0.8	0.3	2.88	female	-5.2	187.93	0.73	1.64	0.80
299	0.8	1	1	0.667	0.8	0.3	-1	female	-3.7	194.16	0.75	1.38	0.80
300	0.8	1	1	0.667	0.8	0.3	1.45	male	-3.7	214.28	0.83	1.38	0.49
301	0.8	1	1	0.667	0.8	0.3	-1.73	female	-4	207.7	0.81	1.43	0.41
302	0.8	1	1	0.667	0.8	0.3	1.81	female	-4.2	197.87	0.77	1.46	0.54
303	0.8	1	1	0.667	0.8	0.3	1.3	male	-2.5	214.15	0.83	1.2	0.40
304	0.8	1	1	0.667	0.8	0.3	-2.22	male	-4.9	238.9	0.93	1.58	0.48
305	0.8	1	1	0.667	0.8	0.3	-1.34	female	-5.6	212.98	0.83	1.71	0.14
306	0.8	1	1	0.667	0.8	0.3	-1.09	female	-4.3	209.43	0.81	1.48	0.27
307	0.8	1	1	0.667	0.8	0.3	-1.5	female	-3.9	225.13	0.87	1.41	0.21
308	0.8	1	1	0.667	0.8	0.3	1.5	male	-4	200.58	0.78	1.43	0.39
309	0.8	1	1	0.667	0.8	0.3	-0.64	ambiguous	-4.3	225.27	0.87	1.48	0.52
310	0.8	1	1	0.667	0.8	0.3	0.6	female	-4.2	177.4	0.69	1.46	0.58
311	0.8	1	1	0.667	0.8	0.3	0.72	female	-3.5	148.59	0.58	1.35	0.79
