voice_id	measured_lufs	gain_db_to_target	volume_linear_to_target	eq	length_scale_base	pitch_semitones	dur_s	words	measured_wpm	median_f0_hz	f0_p10_hz	f0_p90_hz	voiced_ratio	sex_guess	sex_confidence	newSpeed	newVol
865	-16.4	-3.6	0.66	off	1.1	0	17.43	68	234.13	170.93	143.18	400.91	0.74	ambiguous	0.4	0.91	1.36
866	-15.6	-4.4	0.6	off	1.02	0	22.2	68	183.8	165.79	123.18	436.68	0.77	ambiguous	0.4	0.71	1.49
867	-15.8	-4.2	0.62	off	1.08	0	21.08	68	193.51	121.82	97.14	512.79	0.78	male	0.66	0.75	1.46
868	-16.5	-3.5	0.67	off	1.1	0	17.29	68	236.01	106.01	86.47	501.14	0.75	male	0.8	0.92	1.35
869	-15.1	-4.9	0.57	off	1.08	0	21.07	68	193.62	222.73	182.23	383.51	0.76	female	0.75	0.75	1.58
870	-17.3	-2.7	0.73	off	1.03	0	22.02	68	185.25	106.52	86.13	303.03	0.77	male	0.8	0.72	1.23
871	-14.6	-5.4	0.54	off	1.1	0	18.46	68	221.02	167.05	130.47	216.18	0.76	ambiguous	0.5	0.86	1.68
872	-16	-4	0.63	off	1	0	23.44	68	174.06	180.74	152.07	450	0.73	ambiguous	0.4	0.68	1.43
873	-14.9	-5.1	0.56	off	1.1	0	18.8	68	217.06	173.62	144.12	306.31	0.75	ambiguous	0.4	0.84	1.62
874	-15.5	-4.5	0.6	off	1.08	0	21.05	68	193.83	179.27	150	459.38	0.75	ambiguous	0.4	0.75	1.51
875	-15.2	-4.8	0.58	off	1.09	0	20.77	68	196.43	216.18	182.23	274.94	0.78	female	0.78	0.76	1.56
876	-16.5	-3.5	0.67	off	1.1	0	17.97	68	227.02	126	98.88	408.33	0.74	male	0.58	0.88	1.35
877	-15.7	-4.3	0.61	off	1.1	0	19.54	68	208.81	200.45	172.27	432.35	0.74	female	0.31	0.81	1.48
878	-15.2	-4.8	0.58	off	1.1	0	18.72	68	218	126	92.26	424.04	0.78	male	0.58	0.85	1.56
879	-18.2	-1.8	0.81	off	1.1	0	16.65	68	245.06	130.47	102.56	432.35	0.74	male	0.49	0.95	1.11
880	-15.9	-4.1	0.62	off	1.1	0	18.24	68	223.69	193.42	165.79	365.69	0.77	female	0.17	0.87	1.44
881	-15.8	-4.2	0.62	off	1.1	0	20.39	68	200.13	180.74	152.07	273.58	0.73	ambiguous	0.5	0.78	1.46
882	-17.1	-2.9	0.72	off	1.1	0	19.55	68	208.68	113.08	91.88	369.99	0.7	male	0.8	0.81	1.26
883	-17.9	-2.1	0.79	off	1.1	0	17.21	68	237.13	127.46	100.23	412.19	0.75	male	0.55	0.92	1.15
884	-17.2	-2.8	0.72	off	1.1	0	19.69	68	207.21	131.25	111.93	417.67	0.76	male	0.48	0.80	1.24
885	-16.7	-3.3	0.68	off	1.1	0	17.32	68	235.54	147.99	111.36	319.57	0.77	male	0.14	0.91	1.32
886	-15.5	-4.5	0.6	off	1.06	0	21.44	68	190.27	198.65	164.55	408.33	0.79	female	0.27	0.74	1.51
887	-16.5	-3.5	0.67	off	1.1	0	19.26	68	211.83	193.42	164.55	256.4	0.77	female	0.21	0.82	1.35
888	-16.6	-3.4	0.68	off	1.1	0	20.41	68	199.9	135.28	101.61	434.08	0.75	male	0.39	0.78	1.33
889	-16.6	-3.4	0.68	off	1.1	0	18.81	68	216.93	128.95	100.23	234.55	0.73	male	0.52	0.84	1.33
890	-16.8	-3.2	0.69	off	1.1	0	19.38	68	210.56	126	95.45	403.14	0.68	male	0.58	0.82	1.3
891	-16.2	-3.8	0.65	off	1.1	0	20.42	68	199.79	115.45	93.43	479.35	0.74	male	0.79	0.78	1.39
892	-17.7	-2.3	0.77	off	1.06	0	21.43	68	190.37	108.62	88.2	501.14	0.7	male	0.8	0.74	1.17
893	-17.7	-2.3	0.77	off	1.1	0	19.37	68	210.68	139.56	100.18	361.48	0.73	male	0.31	0.82	1.17
894	-15.8	-4.2	0.62	off	1.08	0	20.93	68	194.91	190.09	159.78	408.33	0.74	female	0.1	0.76	1.46
895	-16.6	-3.4	0.68	off	1.03	0	21.91	68	186.23	133.64	108.09	469.15	0.72	male	0.43	0.72	1.33
896	-18.2	-1.8	0.81	off	1.1	0	18.3	68	222.98	114.25	91.49	344.53	0.7	male	0.8	0.87	1.11
897	-16.4	-3.6	0.66	off	1.02	0	22.24	68	183.41	190.09	160.95	253.45	0.75	female	0.13	0.71	1.36
898	-17.6	-2.4	0.76	off	1.01	0	22.38	68	182.27	110.25	85.8	296.58	0.73	male	0.8	0.71	1.19
899	-17.2	-2.8	0.72	off	1.1	0	20.48	68	199.22	107.56	86.81	298.03	0.69	male	0.8	0.77	1.24
900	-16.7	-3.3	0.68	off	1.08	0	21.06	68	193.73	130.47	106.52	268.9	0.75	male	0.49	0.75	1.32
901	-15.7	-4.3	0.61	off	1.1	0	19.18	68	212.73	134.45	103.47	345.08	0.72	male	0.41	0.83	1.48
902	-16.2	-3.8	0.65	off	1.1	0	20.13	68	202.67	128.2	98	469.15	0.75	male	0.54	0.79	1.39
903	-16.3	-3.7	0.65	off	1.1	0	18.16	68	224.69	176.4	147.99	450	0.77	ambiguous	0.4	0.87	1.38
																	
	-16.26	-3.74	0.66	206.44													
