voice_index	voice_number	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sexConfidence
749	749	0.8	1	1.44	0.667	0.8	0.3	3.73	male	-4.1	193.73	0.75	1.44	0.52
750	750	0.8	1	1.29	0.667	0.8	0.3	1.36	male	-3.1	182.27	0.71	1.29	0.58
751	751	0.8	1	1.48	0.667	0.8	0.3	-1.84	male	-4.3	209.3	0.81	1.48	0.79
752	752	0.8	1	1.2	0.667	0.8	0.3	-0.86	male	-2.5	217.73	0.85	1.2	0.8
753	753	0.8	1	1.33	0.667	0.8	0.3	-1.99	male	-3.4	220.19	0.86	1.33	0.31
754	754	0.8	1	1.66	0.667	0.8	0.3	0.45	female	-5.3	217.33	0.84	1.66	0.1
755	755	0.8	1	1.39	0.667	0.8	0.3	-0.16	female	-3.8	209.18	0.81	1.39	0.43
756	756	0.8	1	1.58	0.667	0.8	0.3	0.21	ambiguous	-4.9	163.38	0.63	1.58	0.8
757	757	0.8	1	1.55	0.667	0.8	0.3	1.57	female	-4.7	166.16	0.65	1.55	0.13
758	758	0.8	1	1.41	0.667	0.8	0.3	1.05	male	-3.9	195.02	0.76	1.41	0.8
759	759	0.8	1	1.78	0.667	0.8	0.3	-1.8	female	-5.9	194.16	0.75	1.78	0.8
760	760	0.8	1	1.41	0.667	0.8	0.3	-2.81	male	-3.9	223.13	0.87	1.41	0.49
761	761	0.8	1	1.78	0.667	0.8	0.3	-0.07	female	-5.9	222.42	0.86	1.78	0.41
762	762	0.8	1	1.08	0.667	0.8	0.3	1.21	male	-1.6	206.72	0.8	1.08	0.54
763	763	0.8	1	1.23	0.667	0.8	0.3	1.05	male	-2.7	206.23	0.8	1.23	0.4
764	764	0.8	1	1.24	0.667	0.8	0.3	0.95	female	-2.8	189.14	0.73	1.24	0.48
765	765	0.8	1	1.7	0.667	0.8	0.3	0.5	female	-5.5	217.46	0.84	1.7	0.14
766	766	0.8	1	1.55	0.667	0.8	0.3	0.57	female	-4.7	234.44	0.91	1.55	0.27
767	767	0.8	1	1.58	0.667	0.8	0.3	-0.17	male	-4.9	196.76	0.76	1.58	0.21
768	768	0.8	1	1.33	0.667	0.8	0.3	-0.25	ambiguous	-3.4	228.05	0.89	1.33	0.39
769	769	0.8	1	1.35	0.667	0.8	0.3	0.89	male	-3.5	177.76	0.69	1.35	0.52
770	770	0.8	1	1.21	0.667	0.8	0.3	1.74	male	-2.6	191.72	0.74	1.21	0.58
771	771	0.8	1	1.56	0.667	0.8	0.3	-1.2	female	-4.8	222.98	0.87	1.56	0.79
772	772	0.8	1	1.11	0.667	0.8	0.3	3.85	male	-1.8	191.41	0.74	1.11	0.8
773	773	0.8	1	1.49	0.667	0.8	0.3	-1.22	female	-4.4	200.81	0.78	1.49	0.31
774	774	0.8	1	1.64	0.667	0.8	0.3	-0.48	ambiguous	-5.2	200.47	0.78	1.64	0.1
775	775	0.8	1	1.53	0.667	0.8	0.3	1.45	female	-4.6	201.39	0.78	1.53	0.43
776	776	0.8	1	1.2	0.667	0.8	0.3	-0.47	male	-2.5	229.24	0.89	1.2	0.8
777	777	0.8	1	1.86	0.667	0.8	0.3	1.21	ambiguous	-6.3	169.61	0.66	1.86	0.13
778	778	0.8	1	1.23	0.667	0.8	0.3	-2.33	male	-2.7	210.18	0.82	1.23	0.8
779	779	0.8	1	1.36	0.667	0.8	0.3	0.59	male	-3.6	249.59	0.97	1.36	0.8
780	780	0.8	1	1.36	0.667	0.8	0.3	1.1	female	-3.6	230.74	0.9	1.36	0.49
781	781	0.8	1	1.27	0.667	0.8	0.3	0.9	male	-3	210.56	0.82	1.27	0.41
782	782	0.8	1	1.39	0.667	0.8	0.3	-1.38	ambiguous	-3.8	195.89	0.76	1.39	0.54
783	783	0.8	1	1.46	0.667	0.8	0.3	2.18	ambiguous	-4.2	156.88	0.61	1.46	0.4
784	784	0.8	1	1.07	0.667	0.8	0.3	1.58	male	-1.5	195.56	0.76	1.07	0.48
785	785	0.8	1	1.64	0.667	0.8	0.3	-2.62	female	-5.2	214.54	0.83	1.64	0.14
786	786	0.8	1	1.33	0.667	0.8	0.3	-2.08	female	-3.4	240.7	0.93	1.33	0.27
787	787	0.8	1	1.23	0.667	0.8	0.3	1.67	male	-2.7	242.86	0.94	1.23	0.21
788	788	0.8	1	1.36	0.667	0.8	0.3	-1.25	male	-3.6	228.34	0.89	1.36	0.39
789	789	0.8	1	1.53	0.667	0.8	0.3	1.46	male	-4.6	200.58	0.78	1.53	0.52
790	790	0.8	1	1.53	0.667	0.8	0.3	2.36	female	-4.6	155.98	0.61	1.53	0.58
791	791	0.8	1	1.73	0.667	0.8	0.3	3.38	ambiguous	-5.7	195.89	0.76	1.73	0.79
792	792	0.8	1	1.46	0.667	0.8	0.3	-1.23	male	-4.2	214.28	0.83	1.46	0.8
793	793	0.8	1	1.21	0.667	0.8	0.3	2.4	male	-2.6	192.67	0.75	1.21	0.31
794	794	0.8	1	1.7	0.667	0.8	0.3	-3.1	female	-5.5	214.15	0.83	1.7	0.1
795	795	0.8	1	1.33	0.667	0.8	0.3	1.45	male	-3.4	208.19	0.81	1.33	0.43
796	796	0.8	1	1.62	0.667	0.8	0.3	-3.36	female	-5.1	220.6	0.86	1.62	0.8
797	797	0.8	1	0.95	0.667	0.8	0.3	-0.91	male	-0.5	212.6	0.83	0.95	0.13
798	798	0.8	1	1.51	0.667	0.8	0.3	-1.8	ambiguous	-4.5	233.97	0.91	1.51	0.8
799	799	0.8	1	1.36	0.667	0.8	0.3	3.96	male	-3.6	165.53	0.64	1.36	0.8
800	800	0.8	1	0.96	0.667	0.8	0.3	-4.74	male	-0.6	213.5	0.83	0.96	0.49
801	801	0.8	1	1.55	0.667	0.8	0.3	-0.7	male	-4.7	196.76	0.76	1.55	0.41
802	802	0.8	1	1.44	0.667	0.8	0.3	-0.21	male	-4.1	220.47	0.86	1.44	0.54
803	803	0.8	1	1.35	0.667	0.8	0.3	2.95	male	-3.5	184.86	0.72	1.35	0.4
804	804	0.8	1	1.02	0.667	0.8	0.3	1.16	male	-1.1	220.05	0.85	1.02	0.48
805	805	0.8	1	1.29	0.667	0.8	0.3	-6.35	male	-3.1	213.37	0.83	1.29	0.14
806	806	0.8	1	0.98	0.667	0.8	0.3	-1.73	male	-0.7	232.88	0.9	0.98	0.27
807	807	0.8	1	1.82	0.667	0.8	0.3	-1.79	female	-6.1	202.2	0.79	1.82	0.21
808	808	0.8	1	1.24	0.667	0.8	0.3	-0.33	male	-2.8	191.09	0.74	1.24	0.39
809	809	0.8	1	1.27	0.667	0.8	0.3	1.74	male	-3	220.47	0.86	1.27	0.52
810	810	0.8	1	1.53	0.667	0.8	0.3	-0.19	ambiguous	-4.6	229.39	0.89	1.53	0.58
811	811	0.8	1	1.41	0.667	0.8	0.3	1.07	male	-3.9	155.7	0.6	1.41	0.79
812	812	0.8	1	1.35	0.667	0.8	0.3	1.66	male	-3.5	207.33	0.81	1.35	0.8
813	813	0.8	1	1.2	0.667	0.8	0.3	0.84	male	-2.5	209.43	0.81	1.2	0.31
814	814	0.8	1	1.32	0.667	0.8	0.3	1.59	male	-3.3	198.1	0.77	1.32	0.1
815	815	0.8	1	1.44	0.667	0.8	0.3	-2.17	female	-4.1	200.81	0.78	1.44	0.43
816	816	0.8	1	1.51	0.667	0.8	0.3	-1.11	male	-4.5	212.98	0.83	1.51	0.8
817	817	0.8	1	1.43	0.667	0.8	0.3	-2.45	male	-4	266.03	1.03	1.43	0.13
818	818	0.8	1	1.24	0.667	0.8	0.3	0.52	male	-2.8	210.56	0.82	1.24	0.8
819	819	0.8	1	1.43	0.667	0.8	0.3	-5.37	female	-4	220.74	0.86	1.43	0.8
820	820	0.8	1	1.55	0.667	0.8	0.3	2.65	female	-4.7	166.39	0.65	1.55	0.49
821	821	0.8	1	1.15	0.667	0.8	0.3	-0.57	male	-2.1	228.2	0.89	1.15	0.41
822	822	0.8	1	1.44	0.667	0.8	0.3	2.67	male	-4.1	182.65	0.71	1.44	0.54
823	823	0.8	1	1.48	0.667	0.8	0.3	-0.47	female	-4.3	202.32	0.79	1.48	0.4
824	824	0.8	1	1.13	0.667	0.8	0.3	1.08	male	-2	206.11	0.8	1.13	0.48
